epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.424,1.45715,2.53862,1.42195,0.68942,0.35218,0.42665,0.24087,1.39851,2.73066,1.34802,0.000655367,0.000655367,0.000655367
2,272.483,1.49689,2.04834,1.43764,0.61672,0.46635,0.48331,0.25431,1.56789,2.48238,1.53658,0.00129586,0.00129586,0.00129586
3,404.282,1.53111,1.92386,1.46314,0.55807,0.49519,0.50455,0.26856,1.59226,2.56083,1.56774,0.00190995,0.00190995,0.00190995
4,534.023,1.51012,1.85483,1.44369,0.679,0.51923,0.58959,0.32576,1.603,2.26262,1.56499,0.0018812,0.0018812,0.0018812
5,662.971,1.54181,1.68072,1.47722,0.68168,0.60096,0.63071,0.33298,1.58385,2.1723,1.58043,0.0018416,0.0018416,0.0018416
6,791.588,1.51027,1.6198,1.46536,0.51025,0.52094,0.51498,0.27384,1.50613,2.05671,1.49441,0.001802,0.001802,0.001802
7,921.454,1.46606,1.52134,1.40841,0.84638,0.625,0.73904,0.43957,1.43141,1.51925,1.47217,0.0017624,0.0017624,0.0017624
8,1051.04,1.48423,1.44516,1.40293,0.65343,0.57106,0.60758,0.35533,1.49392,1.71359,1.43745,0.0017228,0.0017228,0.0017228
9,1180.53,1.43989,1.41408,1.4047,0.70391,0.63942,0.68907,0.40596,1.46827,1.56042,1.45222,0.0016832,0.0016832,0.0016832
10,1310.5,1.37009,1.28886,1.37923,0.82973,0.63256,0.75105,0.45019,1.34536,1.47492,1.36277,0.0016436,0.0016436,0.0016436
11,1441.6,1.40369,1.30392,1.37882,0.77263,0.65348,0.7598,0.44587,1.40746,1.27076,1.37969,0.001604,0.001604,0.001604
12,1573.38,1.38833,1.2292,1.35493,0.79078,0.63602,0.72763,0.4449,1.32407,1.41581,1.3804,0.0015644,0.0015644,0.0015644
13,1704.05,1.32288,1.24135,1.31039,0.79809,0.66346,0.73333,0.42884,1.43006,1.3715,1.40583,0.0015248,0.0015248,0.0015248
14,1834.64,1.31872,1.18118,1.30896,0.79364,0.62866,0.72143,0.43549,1.43824,1.31834,1.39659,0.0014852,0.0014852,0.0014852
